noise_m,layer,difficulty,dist_to_boundary_m,original_label,noisy_label,flipped
5,tract,hard,31.28382546666443,39153505600,39153505600,False
5,tract,boundary,4.091339048695022,48493000300,48493000300,False
5,tract,easy,853.9033332775441,48201554407,48201554407,False
5,tract,easy,533.287263727673,12095012304,12095012304,False
5,county,hard,25.624337862222024,48423,48423,False
5,county,medium,372.76192948780164,48297,48297,False
5,county,hard,79.2300772106807,48491,48491,False
5,tract,easy,595.5784072691102,06037501501,06037501501,False
5,county,easy,2267.1215160720326,12055,12055,False
5,county,boundary,7.548874221125706,13061,13061,False
5,county,easy,7341.183901401223,36039,36039,False
5,county,easy,4273.243259673592,48457,48457,False
5,tract,hard,75.07648068211574,39153502800,39153502800,False
5,county,hard,39.21258782157405,12047,12047,False
5,zcta,easy,680.3449879373834,30750,30750,False
5,county,edge,80.45787794477832,13027,13027,False
5,county,easy,1142.1979991596845,48287,48287,False
5,county,medium,301.9351789055984,39091,39091,False
5,county,easy,12367.73804128222,39041,39041,False
5,county,easy,11647.736174516456,48125,48125,False
5,county,easy,4850.865899721378,48057,48057,False
5,county,medium,121.38426338073373,48383,48383,False
5,tract,medium,152.79285172043967,12086000508,12086000508,False
5,zcta,medium,303.2408905510376,34758,34758,False
5,tract,boundary,5.888809940681226,06013360101,06013360101,False
5,county,hard,85.22030712303649,13243,13243,False
5,county,hard,31.370347586607362,48005,48005,False
5,zcta,hard,63.986372143520796,95944,95944,False
5,county,medium,300.5026638320031,13073,13073,False
5,tract,easy,574.9522234203863,39151713900,39151713900,False
5,county,medium,257.7058082563505,48121,48121,False
5,county,hard,30.640815377425767,17093,17093,False
5,county,hard,14.590282969515052,53017,53017,False
5,zcta,boundary,4.9786753084745605,93205,93205,False
5,tract,easy,141.7647023442081,17043841110,17043841110,False
5,zcta,medium,198.16426158614203,12993,12993,False
5,tract,hard,74.53780411746884,48167721211,48167721211,False
5,county,easy,11864.79204466453,39087,39087,False
5,county,hard,19.090406831423856,48351,48351,False
5,county,easy,20285.107340550563,06019,06019,False
5,county,medium,135.3551556981424,48423,48423,False
5,zcta,boundary,3.0549798772977845,61743,61740,True
5,tract,boundary,4.977311504501801,12085001302,12085001302,False
5,zcta,boundary,7.014109461669535,45432,45432,False
5,zcta,hard,82.47710942445488,78418,78418,False
5,tract,easy,501.3086912726042,48361021000,48361021000,False
5,county,medium,213.70170956422962,48299,48299,False
5,county,easy,14542.295145436125,48237,48237,False
5,tract,medium,144.63587301351987,48439114105,48439114105,False
5,county,hard,65.4833159318977,17011,17011,False
5,zcta,easy,1614.0659505592057,32563,32563,False
5,county,hard,63.05271153680156,12059,12059,False
5,county,easy,1808.0014199152092,39085,39085,False
5,tract,easy,537.463626980072,12021010429,12021010429,False
5,zcta,hard,69.72905890407641,45469,45469,False
5,county,medium,161.2512304797583,48209,48209,False
