layer,difficulty,dist_to_boundary_m,gold_label,exact_label,exact_correct,bs_label,bs_correct,bs_abstain,bs_confidence,risk_label,risk_correct,risk_abstain,dist_bin
zcta,edge,21.341675643361818,78382,78382,True,78382,True,False,1.0,,False,True,10-25m
zcta,easy,2729.8152361222637,15851,15851,True,15851,True,False,1.0,15851,True,False,>500m
tract,hard,26.309475648408803,12127090402,12127090402,True,12127090402,True,False,1.0,12127090402,True,False,25-50m
county,easy,995.3752505320464,39101,39101,True,39101,True,False,1.0,39101,True,False,>500m
county,medium,451.65220276029555,39141,39141,True,39141,True,False,1.0,39141,True,False,100-500m
county,easy,2489.8783382647616,39023,39023,True,39023,True,False,1.0,39023,True,False,>500m
county,hard,15.69594555308176,13167,13167,True,13167,True,False,0.9,,False,True,10-25m
county,boundary,4.762335442364866,06031,06031,True,06031,True,True,0.65,,False,True,0-10m
zcta,hard,49.843803227622736,76118,76118,True,76118,True,False,1.0,76118,True,False,25-50m
tract,hard,75.88585972755872,06037531502,06037531502,True,06037531502,True,False,1.0,06037531502,True,False,50-100m
tract,boundary,0.6652242035688009,39029951401,39029951401,True,39029951500,False,True,0.56,,False,True,0-10m
tract,edge,66.01712347070634,48043950500,48043950500,True,48043950500,True,False,1.0,48043950500,True,False,50-100m
county,edge,18.144283788685442,06083,06083,True,06083,True,False,1.0,,False,True,10-25m
tract,easy,511.6119223968519,06037109601,06037109601,True,06037109601,True,False,1.0,06037109601,True,False,>500m
tract,medium,316.4030023208987,04013050613,04013050613,True,04013050613,True,False,1.0,04013050613,True,False,100-500m
county,medium,111.1488053102495,48503,48503,True,48503,True,False,1.0,48503,True,False,100-500m
tract,easy,533.2139248290822,12103025414,12103025414,True,12103025414,True,False,1.0,12103025414,True,False,>500m
zcta,hard,36.66959023147564,76049,76049,True,76049,True,False,1.0,76049,True,False,25-50m
tract,hard,75.2514776761717,06073020036,06073020036,True,06073020036,True,False,1.0,06073020036,True,False,50-100m
county,hard,89.96257536862588,48129,48129,True,48129,True,False,1.0,48129,True,False,50-100m
tract,hard,46.58614148716742,48201432705,48201432705,True,48201432705,True,False,1.0,48201432705,True,False,25-50m
tract,medium,241.74199709195716,17197880123,17197880123,True,17197880123,True,False,1.0,17197880123,True,False,100-500m
zcta,easy,733.9837035830352,78108,78108,True,78108,True,False,1.0,78108,True,False,>500m
county,hard,61.380190356480405,48107,48107,True,48107,True,False,1.0,48107,True,False,50-100m
tract,hard,81.39734785577542,48113015208,48113015208,True,48113015208,True,False,1.0,48113015208,True,False,50-100m
tract,easy,339.26748756633793,42077009500,42077009500,True,42077009500,True,False,1.0,42077009500,True,False,100-500m
tract,hard,56.260329309418545,12086000408,12086000408,True,12086000408,True,False,1.0,12086000408,True,False,50-100m
zcta,easy,577.3604102061538,77056,77056,True,77056,True,False,1.0,77056,True,False,>500m
zcta,boundary,2.9174891732141743,78736,78736,True,78736,True,True,0.62,,False,True,0-10m
county,medium,467.1132224762089,39069,39069,True,39069,True,False,1.0,39069,True,False,100-500m
zcta,easy,1480.638302796165,76051,76051,True,76051,True,False,1.0,76051,True,False,>500m
county,easy,10465.847664116382,48299,48299,True,48299,True,False,1.0,48299,True,False,>500m
county,hard,84.43313046168018,12001,12001,True,12001,True,False,1.0,12001,True,False,50-100m
county,hard,51.51669790070233,36023,36023,True,36023,True,False,1.0,36023,True,False,50-100m
county,medium,333.79152323533964,17013,17013,True,17013,True,False,1.0,17013,True,False,100-500m
tract,medium,154.8461410990123,06037124103,06037124103,True,06037124103,True,False,1.0,06037124103,True,False,100-500m
tract,easy,739.459104525291,12057010216,12057010216,True,12057010216,True,False,1.0,12057010216,True,False,>500m
tract,edge,85.26668157586005,06029004001,06029004001,True,06029004001,True,False,1.0,06029004001,True,False,50-100m
zcta,easy,1002.2175304272967,19119,19119,True,19119,True,False,1.0,19119,True,False,>500m
zcta,easy,500.05459936456265,33503,33503,True,33503,True,False,1.0,33503,True,False,>500m
county,easy,4091.887498841809,12103,12103,True,12103,True,False,1.0,12103,True,False,>500m
zcta,hard,63.802075426387844,75424,75424,True,75424,True,False,1.0,75424,True,False,50-100m
county,hard,16.724907083622213,48137,48137,True,48137,True,False,0.98,,False,True,10-25m
county,boundary,8.602674082592001,12105,12105,True,12105,True,True,0.77,,False,True,0-10m
tract,boundary,8.401680554766745,39035172202,39035172202,True,39035172202,True,True,0.78,,False,True,0-10m
tract,medium,151.47268074220037,36081038302,36081038302,True,36081038302,True,False,1.0,36081038302,True,False,100-500m
